Topic,Word,Weight
-1,ai,0.038835921469007786
-1,chatbots,0.025357318470088482
-1,clinical,0.017598823762137988
-1,human,0.016723693295935375
-1,intelligence,0.015672254344599238
-1,artificial intelligence,0.01564106569050687
-1,artificial,0.015274805697754924
-1,information,0.014785465390891137
-1,models,0.01434103563102986
-1,chatgpt,0.013802729512126386
-1,patient,0.01298944928817599
-1,copilot,0.012641473103422276
-1,providing,0.010996429701722018
-1,responses,0.01093917535779179
-1,accurate,0.010920765371120559
0,ai,0.06282572364911619
0,human,0.05615167612514586
0,human ai,0.035830272272168666
0,humans,0.020672702623196575
0,systems,0.020630511594929953
0,collaboration,0.019803541696787694
0,team,0.019570003860812146
0,performance,0.019122194433591092
0,decision,0.016740478747335627
0,teams,0.016447523584848647
0,trust,0.01510636377711961
0,making,0.013785909849013865
0,decision making,0.013769154597139595
0,intelligence,0.013155337976730486
0,ai collaboration,0.0122368880237144
1,code,0.03949745262899863
1,ai,0.03604141238970602
1,copilot,0.02502526810945797
1,tools,0.024480585297092124
1,language,0.02159343663901727
1,models,0.020181367087509543
1,software,0.01893763004327261
1,github,0.01881656077199999
1,programming,0.01869201082985844
1,github copilot,0.01851756083550465
1,generative,0.01788553948531302
1,generative ai,0.016087670159620992
1,large,0.01597173692200621
1,development,0.015747997977275354
1,like,0.015690745793146707
