Topic,Word,Weight
0,learning,0.015833121680093067
0,based,0.015733626231591816
0,using,0.015381341917910909
0,high,0.010382862451766513
0,performance,0.01022435962972581
0,proposed,0.010139195596750578
0,novel,0.010128765650313535
0,data,0.01010506254141844
0,embedded,0.009948848330023893
0,ai,0.008975578164799736
0,model,0.008885359838997008
0,deep,0.0088498673945061
0,neural,0.008753625160864368
0,accuracy,0.008698511502986202
0,network,0.008698511502986202
1,group,0.047598855202275574
1,algebra,0.03921016421609041
1,embedding,0.028872743498925865
1,spaces,0.027264370705416895
1,certain,0.023572411153299753
1,finite,0.022917537025692023
1,conditions,0.021638415559296093
1,subgroup,0.017625732803198502
1,existence,0.01718720722471183
1,groups,0.017016908258415186
1,sobolev,0.0161915710905271
1,lie,0.015863159522878655
1,space,0.01423119541603041
1,compact,0.013750522215415215
1,embedded,0.013348591917472783
