Topic,Word,Weight
-1,ai,0.029242846298926015
-1,central,0.023408141406961
-1,argument,0.023121897874368812
-1,central argument,0.022899716649439832
-1,paper,0.02032690000828023
-1,think,0.019581106872428533
-1,abstract,0.019268651871465606
-1,need,0.01471548442640598
-1,data,0.014330192962133158
-1,like,0.013838274526294806
-1,human,0.01359539452388774
-1,using,0.011481457927265997
-1,central argument paper,0.011435874864887478
-1,argument paper,0.011433160446423205
-1,extract,0.011372834201712378
0,ai,0.05175407823897916
0,human,0.03700056480833524
0,argument,0.024979770554643805
0,central,0.0244299820437712
0,central argument,0.024223750526589146
0,paper,0.022245255764135382
0,think,0.02039260288751983
0,human ai,0.02036545203501513
0,abstract,0.02010772574301632
0,humans,0.015225444804911196
0,need,0.013992596053436314
0,trust,0.013708501238475631
0,teams,0.013653480125710665
0,team,0.01170119865622102
0,central argument paper,0.011630293669541776
1,ai,0.03431039058279426
1,argument,0.024140335550184022
1,central,0.02401841298523496
1,central argument,0.02393340487653626
1,code,0.022468560160780797
1,paper,0.02139476636980192
1,copilot,0.021273144277647277
1,think,0.02028265368494716
1,tools,0.01959385680381528
1,abstract,0.018319227074542158
1,like,0.01714942290371762
1,need,0.013903374278371279
1,using,0.012824507618488199
1,models,0.012815142588904888
1,argument paper,0.012515149303673645
