Topic,Word,Weight
-1,agent,0.02297364327986517
-1,human,0.016563334450679954
-1,agents,0.014240819475459774
-1,ai,0.013112957687262882
-1,team,0.012869167672286373
-1,multi,0.012818695031445662
-1,systems,0.012350246947156831
-1,based,0.012256478279860844
-1,multi agent,0.011723119717377639
-1,performance,0.00896268347637395
-1,effectively,0.008445545757341712
-1,teams,0.008155864343984092
-1,utilizing,0.007026844982110536
-1,model,0.006919273329948914
-1,complex,0.006598788672690452
0,team,0.03126850770543403
0,agent,0.027599293290961734
0,teams,0.017745337629809916
0,performance,0.017146470782732876
0,human,0.016556725733103874
0,agents,0.016324827559716693
0,dynamic,0.014053602740868459
0,task,0.013356343847391861
0,multi,0.012196857750787283
0,based,0.012191824140324424
0,multi agent,0.011979631144357081
0,teamwork,0.011638305601837588
0,environments,0.01161417637722635
0,teaming,0.010621982677007927
0,systems,0.010383462719711084
1,learning,0.054040692515993645
1,reinforcement,0.034070382779073594
1,reinforcement learning,0.03340161984822409
1,agent,0.025147347750132016
1,multi,0.021147661534314167
1,multi agent,0.019398096085489654
1,cooperative,0.014413383448895428
1,agents,0.013795382107695472
1,effectively,0.012945732461584996
1,team,0.012827295440535279
1,agent reinforcement learning,0.012343831516211778
1,multi agent reinforcement,0.012343831516211778
1,agent reinforcement,0.012343831516211778
1,games,0.010882174140434646
1,performance,0.010804330399102533
2,soccer,0.06044059926165629
2,robocup,0.03366950046480016
2,robot,0.030650468011472615
2,team,0.024578982989831487
2,robot soccer,0.020923811152661294
2,robotic,0.019135617904340818
2,robotic soccer,0.017523420923495618
2,agent,0.017406193210700797
2,multi,0.015183065282085158
2,performance,0.013857060127212077
2,behavior,0.012973598057868
2,simulation,0.01251761118573382
2,autonomous,0.011596435183862806
2,strategies,0.011415913155915858
2,effectively,0.010800666225224359
3,control,0.03217260208451251
3,robot,0.030057784661826924
3,multi,0.02519625872542128
3,multi robot,0.018118816358179288
3,robots,0.017896792365971703
3,agent,0.01774341283775386
3,multi agent,0.014876528165994484
3,cooperative,0.013551434450866286
3,environments,0.013163024767385153
3,based,0.012981677417483363
3,distributed,0.012914100679147462
3,mobile,0.012713921948510232
3,time,0.01270526137703004
3,teams,0.012645476225049943
3,robotic,0.012592702194175336
4,design,0.04965114033322039
4,engineering,0.026842616217322483
4,agent,0.02447081513571387
4,based,0.023494850823152835
4,agent based,0.019684541975328436
4,distributed,0.019262874367897
4,knowledge,0.019094294166062856
4,software,0.01879105069077521
4,product,0.017282725911521878
4,development,0.016592494798162803
4,multi,0.01562677003862159
4,processes,0.015279278011669036
4,teams,0.015249338043530175
4,collaborative,0.015184278878294079
4,systems,0.013761235324913908
5,ai,0.01582813251560091
5,patient,0.015668756701987613
5,medical,0.014962144837033323
5,emergency,0.014337568527729622
5,cancer,0.012327969251039912
5,based,0.012283645410000509
5,treatment,0.01206248003104294
5,disaster,0.01206248003104294
5,agent,0.011749501722783166
5,improve,0.011634573050709834
5,data,0.011030774056028736
5,simulation,0.010710262193457587
5,patients,0.010694736134679838
5,decision,0.010039640527986357
5,clinical,0.009722487395163489
6,ai,0.05366477694881558
6,trust,0.053635915586339185
6,human,0.0422515849568823
6,transparency,0.02123515273252529
6,particularly,0.01612534597961122
6,trust ai,0.015817179127524998
6,human ai,0.01564491321967421
6,human trust,0.01457163526705509
6,reliance,0.013594142049660194
6,influence,0.013236818032180514
6,user,0.013193464892409183
6,agents,0.012526571363136233
6,significantly,0.011355685800762023
6,ai agents,0.011131993386685765
6,calibration,0.010107090256334595
7,learning,0.06198420266992932
7,student,0.030417858511788288
7,virtual,0.029123812900004722
7,collaborative,0.025027382865387877
7,pedagogical,0.020492666570023417
7,intelligent,0.017958317957226362
7,collaborative learning,0.0178266926009106
7,students,0.016754441341521143
7,tutoring,0.01618851464993192
7,agent,0.01588498491221816
7,agents,0.015202665901293056
7,environment,0.014716603558223358
7,facilitate,0.014128376202523408
7,ai,0.0138709335268156
7,support,0.013568955965361089
8,conversational,0.04982322253668121
8,ai,0.03461282686099437
8,language,0.029083267745734883
8,user,0.028456895648408594
8,human,0.024630313320306754
8,conversational ai,0.020714857328468613
8,conversational agents,0.01629168275343846
8,models,0.015520300362471607
8,language models,0.015065210099437315
8,interactions,0.015018652403052595
8,agents,0.013669889147956369
8,large language,0.013629533139522507
8,large,0.01338524617999966
8,natural,0.013099127382585415
8,large language models,0.011854969306789068
9,ai,0.05721300168222349
9,design,0.054024222308929316
9,creative,0.050057583069577964
9,human,0.03709721535907719
9,human ai,0.03195355003048612
9,creativity,0.0192559221759393
9,human ai collaboration,0.015927084872642713
9,ai collaboration,0.01588002622801351
9,creation,0.015737588564201016
9,collaboration,0.015471975764011223
9,generative,0.014823955082669522
9,interaction,0.012911622706133833
9,user,0.012492509414089614
9,ai creative,0.012185848062631436
9,ai agents,0.011941056036009874
10,ai,0.06795565572149206
10,human,0.05890749935773364
10,human ai,0.0446159940585245
10,collaboration,0.03452096416191334
10,ai collaboration,0.028392841865609263
10,human ai collaboration,0.026801864292454857
10,intelligence,0.022583598060135046
10,systems,0.01944396092219134
10,interaction,0.018672060761862425
10,humans,0.018649820747196507
10,ai systems,0.015167455919885676
10,machine,0.013600995613046878
10,social,0.013411597026189482
10,ai interaction,0.012924559811470188
10,understanding,0.012906040912196083
